NO,CODE,MDA,Country,GPS,Personnel,Overheads,Capital
1,119001001,"MINISTRY OF FOREIGN
 AFFAIRS - HQTRS",Nigeria,"9.0594015,7.4958194",3431585708,3468867749,3084226198
2,119001002,"NIGERIANS IN DIASPORA
 COMMISSION (NIDC)",Nigeria,"9.0608,7.496431",197968291,0,300000000
3,119002001,TECHNICAL AIDS CORPS,Nigeria,"9.0739242,7.4139315",1849125402,316288103,39317616
4,119003001,"FOREIGN SERVICE
 ACADEMY (FSA)",Nigeria,"6.5050608,3.1498657",0,52940500,48138140
5,119006001,"INSTITUTE FOR PEACE 
 AND CONFLICT RESOLUTION",Nigeria,"9.0476313,7.4728236",491279045,156252174,209400000
6,119007001,"DIRECTORATE OF 
 TECHNICAL COOP. IN AFRICA",Nigeria,"9.03991,7.502856",363042050,155991854,24800000
7,119008001,"NIGERIAN INSTITUTE OF
 INTERNATIONAL AFFAIRS, LAGOS",Nigeria,"6.4357911,3.4131365",202117269,155106457,45277961
8,119009001,"FOREIGN MISSION:
 ABIDJAN",Cote d'Ivoire,"5.3281935,-4.0221832",228698646,182089310,30000000
9,119009002,FOREIGN MISSION: ACCRA,Ghana,"5.607,-0.2025349",228698646,189330537,22971000
10,119009003,"FOREIGN MISSION: ADDIS
 ABABA",Ethiopia,"9.0471548,38.7498614",356395288,163648776,0
11,119009004,"FOREIGN MISSION:
 ALGIERS",Algeria,"36.7453198,3.0301466",276380745,178372077,57000000
12,119009005,"FOREIGN MISSION:
 ANKARA",Turkey,"39.8953487,32.8751612",384041824,193937694,0
13,119009006,"FOREIGN MISSION:
 ATHENS",Greece,"38.0208487,23.7865397",300366562,157467269,286000000
14,119009007,"FOREIGN MISSION:
 ATLANTA",United States of America,"33.9752032,-84.3566841",327398028,174379793,100000000
15,119009009,"FOREIGN MISSION:
 BAMAKO",Mali,"12.6315649,-8.0281075",227164007,153362453,0
16,119009010,"FOREIGN MISSION:
 BANGKOK",Thailand,"13.7290775,100.5808665",349776632,144760743,0
17,119009011,"FOREIGN MISSION:
 BANGUI",Central African Republic,"4.3699311,18.5649018",172629773,142662753,0
18,119009012,FOREIGN MISSION: BANJUL,Gambia,"13.4654861,-16.6748052",223554696,140766879,0
19,119009013,FOREIGN MISSION: BATA,Equatorial Guinea,"1.8593188,9.7608483",209772251,139987347,100000000
20,119009014,FOREIGN MISSION: BEIJING,China,"39.9512852,116.4549298",580234148,161605993,0
21,119009015,FOREIGN MISSION: BEIRUT,Lebanon,"33.8650351,35.4865389",228115701,152142994,30000000
22,119009016,FOREIGN MISSION: BERLIN,Germany,"52.51128,13.410766",750453146,348340352,0
23,119009017,FOREIGN MISSION: BERNE,Switzerland,"46.9433825,7.4282822",417592556,159095757,0
24,119009018,FOREIGN MISSION: BISSAU,Guinea-Bissau,"11.8629991,-15.5847465",186759522,161202160,0
25,119009019,"FOREIGN MISSION:
 BRASILIA",Brazil,"-15.7885451,-47.8703422",520814930,186160459,60000000
26,119009020,"FOREIGN MISSION:
 BRAZAVILLE",Republic of the Congo,"-4.2705254,15.264835",224224114,139973322,30000000
27,119009021,"FOREIGN MISSION:
 BRUSSELS",Belgium,"50.835056,4.421274",497937797,195911897,0
28,119009022,"FOREIGN MISSION:
 BUCHAREST",Romania,"44.5122075,26.1025558",358821348,158824554,71771759
29,119009023,"FOREIGN MISSION:
 BUDAPEST",Hungary,"47.5167344,19.026576",366869816,147737485,24180000
30,119009024,FOREIGN MISSION: BUEA,Cameroon,"4.1549003,9.2489749",260585419,161223340,30000000
31,119009025,"FOREIGN MISSION:
 BUENOS AIRES",Argentina,"-34.5445704,-58.4748891",385590235,187941703,0
32,119009026,"FOREIGN MISSION:
 BUJUMBURA",Burundi,"-3.407560, 29.351326",291612431,139061356,16461000
33,119009027,FOREIGN MISSION: CAIRO,Egypt,"30.055166,31.21585",253905602,158189404,0
34,119009028,"FOREIGN MISSION:
 CANBERRA",Australia,"-35.3124261,149.1017629",442461145,166071691,0
35,119009029,"FOREIGN MISSION:
 CARACAS",Venezuela,"10.472447,-66.8589262",302232028,141767304,0
36,119009030,"FOREIGN MISSION:
 CONAKRY",Guinea,"9.5136453,-13.7179919",233614728,159175077,0
37,119009031,"FOREIGN MISSION:
 COTONOU",Benin,"6.3516224,2.4085766",286312211,145761606,0
38,119009032,FOREIGN MISSION: DAKAR,Senegal,"14.6789188,-17.4474339",243014133,145930151,42000000
39,119009033,"FOREIGN MISSION:
 DAMASCUS",Syria,"33.4926907,36.2124175",235296871,160107837,0
40,119009034,"FOREIGN MISSION: DAR-
 ES-SALAAM",Tanzania,"-6.7712146,39.2730365",301653284,143100392,0
41,119009035,"FOREIGN MISSION:
 DOUALA",Cameroon,"4.0560081,9.6966202",196649327,139647623,16423800
42,119009036,"FOREIGN MISSION: DUBAI
 TRADE MISSIONS",United Arab Emirates,"24.8689463,54.5684237",252880728,166524775,24180000
43,119009037,FOREIGN MISSION: DUBLIN,Ireland,"53.3271953,-6.2527473",418886920,159495344,0
44,119009038,"FOREIGN MISSION:
 FREETOWN",Sierra Leone,"8.4874706,-13.2375498",259585367,140600999,78000000
45,119009039,"FOREIGN MISSION:
 GABORONE",Botswana,"-24.6580158,25.9117594",270001850,140169026,25110000
46,119009040,"FOREIGN MISSION:
 GENEVA",Switzerland,"46.2226064,6.1328241",765763311,263798511,22320000
47,119009042,FOREIGN MISSION: HANOI,Vietnam,"21.0320928,105.8146451",250145710,163116986,0
48,119009043,"FOREIGN MISSION:
 HARARE",Zimbabwe,"-17.8274017,31.041919",267038381,159584982,0
49,119009044,"FOREIGN MISSION:
 HAVANA",Cuba,"23.1136985,-82.4348635",263886464,139144736,0
50,119009045,"FOREIGN MISSION:
 HONGKONG",China,"22.2801634,114.160205",267225915,215319997,25110000
51,119009046,"FOREIGN MISSION:
 ISLAMABAD",Pakistan,"33.7249432,73.1029227",202135371,137047745,60000000
52,119009047,"FOREIGN MISSION:
 JAKARTA",Indonesia,"-6.2341446,106.8255609",265471772,143892783,0
53,119009048,"FOREIGN MISSION:
 JEDDAH",Saudi Arabia,"21.5375718,39.2004049",437577331,159905638,0
54,119009049,"FOREIGN MISSION:
 JOHANNESBURG",South Africa,"-26.1372328,28.0340028",255554240,154648651,0
55,119009050,"FOREIGN MISSION:
 KAMPALA",Uganda,"-26.1372328,28.0340028",229119302,141295613,0
56,119009051,"FOREIGN MISSION:
 KHARTOUM",Sudan,"15.6027045,32.5327576",246304971,154302701,75000000
57,119009052,FOREIGN MISSION: KIEV,Ukraine,"50.3998492,30.5006173",320218435,205077276,0
58,119009053,"FOREIGN MISSION: KIGALI
 RWANDA",Rwanda,"-1.9199225,30.0896551",254844030,166311243,0
59,119009054,"FOREIGN MISSION:
 KINGSTON",Jamaica,"18.0145055,-76.7947152",223913609,142137228,0
60,119009055,"FOREIGN MISSION:
 KINSHASA",Democratic Republic of the Congo,"-4.2722536,15.2316852",215705552,129097662,0
61,119009056,"FOREIGN MISSION: KUALA
 LUMPUR",Malaysia,"3.1577034,101.7367984",306000860,156492695,0
62,119009057,"FOREIGN MISSION:
 KUWAIT",Kuwait,"29.2792296,48.0494715",189890679,145762891,16461000
63,119009058,"FOREIGN MISSION:
 LIBREVILLE",Gabon,"0.4219928,9.4405064",206366741,138760843,0
64,119009059,FOREIGN MISSION: LISBON,Portugal,"38.7020792,-9.2202555",232642304,162331504,0
65,119009060,FOREIGN MISSION: LOME,Togo,"6.144957,1.209301",211351708,140807448,0
66,119009061,"FOREIGN MISSION:
 LONDON",United Kingdom,"51.5105151,-0.1211919",1108300236,493684941,0
